BufferFrom,SlotFrom,BufferTo,SlotTo,Production,Value
IMAGINAL,SLOT3,MANUAL,SLOT1,FROM-IMAGINAL-SLOT3-TO-MANUAL-SLOT1,0.6802589
IMAGINAL,SLOT3,MANUAL,SLOT2,FROM-IMAGINAL-SLOT3-TO-MANUAL-SLOT2,-0.31033897
IMAGINAL,SLOT3,MANUAL,SLOT3,FROM-IMAGINAL-SLOT3-TO-MANUAL-SLOT3,-0.5276505
GOAL,SLOT1,VISUAL,SLOT1,FROM-GOAL-SLOT1-TO-VISUAL-SLOT1,NA
GOAL,SLOT1,VISUAL,SLOT2,FROM-GOAL-SLOT1-TO-VISUAL-SLOT2,NA
GOAL,SLOT1,VISUAL,SLOT3,FROM-GOAL-SLOT1-TO-VISUAL-SLOT3,NA
GOAL,SLOT1,IMAGINAL,SLOT1,FROM-GOAL-SLOT1-TO-IMAGINAL-SLOT1,-5.21176
GOAL,SLOT1,IMAGINAL,SLOT2,FROM-GOAL-SLOT1-TO-IMAGINAL-SLOT2,-4.710496
GOAL,SLOT1,IMAGINAL,SLOT3,FROM-GOAL-SLOT1-TO-IMAGINAL-SLOT3,-5.3432436
GOAL,SLOT1,GOAL,SLOT1,FROM-GOAL-SLOT1-TO-GOAL-SLOT1,NA
GOAL,SLOT1,GOAL,SLOT2,FROM-GOAL-SLOT1-TO-GOAL-SLOT2,NA
GOAL,SLOT1,GOAL,SLOT3,FROM-GOAL-SLOT1-TO-GOAL-SLOT3,NA
GOAL,SLOT1,RETRIEVAL,SLOT1,FROM-GOAL-SLOT1-TO-RETRIEVAL-SLOT1,-5.867991
GOAL,SLOT1,RETRIEVAL,SLOT2,FROM-GOAL-SLOT1-TO-RETRIEVAL-SLOT2,-4.06356
GOAL,SLOT1,RETRIEVAL,SLOT3,FROM-GOAL-SLOT1-TO-RETRIEVAL-SLOT3,-5.111439
GOAL,SLOT1,MANUAL,SLOT1,FROM-GOAL-SLOT1-TO-MANUAL-SLOT1,NIL
GOAL,SLOT1,MANUAL,SLOT2,FROM-GOAL-SLOT1-TO-MANUAL-SLOT2,NIL
GOAL,SLOT1,MANUAL,SLOT3,FROM-GOAL-SLOT1-TO-MANUAL-SLOT3,NIL
GOAL,SLOT2,VISUAL,SLOT1,FROM-GOAL-SLOT2-TO-VISUAL-SLOT1,NA
GOAL,SLOT2,VISUAL,SLOT2,FROM-GOAL-SLOT2-TO-VISUAL-SLOT2,NA
GOAL,SLOT2,VISUAL,SLOT3,FROM-GOAL-SLOT2-TO-VISUAL-SLOT3,NA
GOAL,SLOT2,IMAGINAL,SLOT1,FROM-GOAL-SLOT2-TO-IMAGINAL-SLOT1,-4.99203
GOAL,SLOT2,IMAGINAL,SLOT2,FROM-GOAL-SLOT2-TO-IMAGINAL-SLOT2,-4.0823183
GOAL,SLOT2,IMAGINAL,SLOT3,FROM-GOAL-SLOT2-TO-IMAGINAL-SLOT3,-5.1609755
GOAL,SLOT2,GOAL,SLOT1,FROM-GOAL-SLOT2-TO-GOAL-SLOT1,NA
GOAL,SLOT2,GOAL,SLOT2,FROM-GOAL-SLOT2-TO-GOAL-SLOT2,NA
GOAL,SLOT2,GOAL,SLOT3,FROM-GOAL-SLOT2-TO-GOAL-SLOT3,NA
GOAL,SLOT2,RETRIEVAL,SLOT1,FROM-GOAL-SLOT2-TO-RETRIEVAL-SLOT1,-4.5011735
GOAL,SLOT2,RETRIEVAL,SLOT2,FROM-GOAL-SLOT2-TO-RETRIEVAL-SLOT2,-4.9776664
GOAL,SLOT2,RETRIEVAL,SLOT3,FROM-GOAL-SLOT2-TO-RETRIEVAL-SLOT3,-5.232511
GOAL,SLOT2,MANUAL,SLOT1,FROM-GOAL-SLOT2-TO-MANUAL-SLOT1,-0.015510887
GOAL,SLOT2,MANUAL,SLOT2,FROM-GOAL-SLOT2-TO-MANUAL-SLOT2,0.14201514
GOAL,SLOT2,MANUAL,SLOT3,FROM-GOAL-SLOT2-TO-MANUAL-SLOT3,-0.3811869
GOAL,SLOT3,VISUAL,SLOT1,FROM-GOAL-SLOT3-TO-VISUAL-SLOT1,NA
GOAL,SLOT3,VISUAL,SLOT2,FROM-GOAL-SLOT3-TO-VISUAL-SLOT2,NA
GOAL,SLOT3,VISUAL,SLOT3,FROM-GOAL-SLOT3-TO-VISUAL-SLOT3,NA
GOAL,SLOT3,IMAGINAL,SLOT1,FROM-GOAL-SLOT3-TO-IMAGINAL-SLOT1,-5.039708
GOAL,SLOT3,IMAGINAL,SLOT2,FROM-GOAL-SLOT3-TO-IMAGINAL-SLOT2,-4.687736
GOAL,SLOT3,IMAGINAL,SLOT3,FROM-GOAL-SLOT3-TO-IMAGINAL-SLOT3,-4.3813543
GOAL,SLOT3,GOAL,SLOT1,FROM-GOAL-SLOT3-TO-GOAL-SLOT1,NA
GOAL,SLOT3,GOAL,SLOT2,FROM-GOAL-SLOT3-TO-GOAL-SLOT2,NA
GOAL,SLOT3,GOAL,SLOT3,FROM-GOAL-SLOT3-TO-GOAL-SLOT3,NA
GOAL,SLOT3,RETRIEVAL,SLOT1,FROM-GOAL-SLOT3-TO-RETRIEVAL-SLOT1,-5.2499323
GOAL,SLOT3,RETRIEVAL,SLOT2,FROM-GOAL-SLOT3-TO-RETRIEVAL-SLOT2,-4.3343315
GOAL,SLOT3,RETRIEVAL,SLOT3,FROM-GOAL-SLOT3-TO-RETRIEVAL-SLOT3,-4.583291
GOAL,SLOT3,MANUAL,SLOT1,FROM-GOAL-SLOT3-TO-MANUAL-SLOT1,-0.30335876
GOAL,SLOT3,MANUAL,SLOT2,FROM-GOAL-SLOT3-TO-MANUAL-SLOT2,0.08207029
GOAL,SLOT3,MANUAL,SLOT3,FROM-GOAL-SLOT3-TO-MANUAL-SLOT3,0.17211065
RETRIEVAL,SLOT1,VISUAL,SLOT1,FROM-RETRIEVAL-SLOT1-TO-VISUAL-SLOT1,NA
RETRIEVAL,SLOT1,VISUAL,SLOT2,FROM-RETRIEVAL-SLOT1-TO-VISUAL-SLOT2,NA
RETRIEVAL,SLOT1,VISUAL,SLOT3,FROM-RETRIEVAL-SLOT1-TO-VISUAL-SLOT3,NA
RETRIEVAL,SLOT1,IMAGINAL,SLOT1,FROM-RETRIEVAL-SLOT1-TO-IMAGINAL-SLOT1,-5.44143
RETRIEVAL,SLOT1,IMAGINAL,SLOT2,FROM-RETRIEVAL-SLOT1-TO-IMAGINAL-SLOT2,-4.7810736
RETRIEVAL,SLOT1,IMAGINAL,SLOT3,FROM-RETRIEVAL-SLOT1-TO-IMAGINAL-SLOT3,-6.368358
RETRIEVAL,SLOT1,GOAL,SLOT1,FROM-RETRIEVAL-SLOT1-TO-GOAL-SLOT1,-4.6461263
RETRIEVAL,SLOT1,GOAL,SLOT2,FROM-RETRIEVAL-SLOT1-TO-GOAL-SLOT2,-5.029056
RETRIEVAL,SLOT1,GOAL,SLOT3,FROM-RETRIEVAL-SLOT1-TO-GOAL-SLOT3,-5.346634
RETRIEVAL,SLOT1,RETRIEVAL,SLOT1,FROM-RETRIEVAL-SLOT1-TO-RETRIEVAL-SLOT1,NA
RETRIEVAL,SLOT1,RETRIEVAL,SLOT2,FROM-RETRIEVAL-SLOT1-TO-RETRIEVAL-SLOT2,NA
RETRIEVAL,SLOT1,RETRIEVAL,SLOT3,FROM-RETRIEVAL-SLOT1-TO-RETRIEVAL-SLOT3,NA
RETRIEVAL,SLOT1,MANUAL,SLOT1,FROM-RETRIEVAL-SLOT1-TO-MANUAL-SLOT1,NIL
RETRIEVAL,SLOT1,MANUAL,SLOT2,FROM-RETRIEVAL-SLOT1-TO-MANUAL-SLOT2,NIL
RETRIEVAL,SLOT1,MANUAL,SLOT3,FROM-RETRIEVAL-SLOT1-TO-MANUAL-SLOT3,NIL
RETRIEVAL,SLOT2,VISUAL,SLOT1,FROM-RETRIEVAL-SLOT2-TO-VISUAL-SLOT1,NA
RETRIEVAL,SLOT2,VISUAL,SLOT2,FROM-RETRIEVAL-SLOT2-TO-VISUAL-SLOT2,NA
RETRIEVAL,SLOT2,VISUAL,SLOT3,FROM-RETRIEVAL-SLOT2-TO-VISUAL-SLOT3,NA
RETRIEVAL,SLOT2,IMAGINAL,SLOT1,FROM-RETRIEVAL-SLOT2-TO-IMAGINAL-SLOT1,-5.5347357
RETRIEVAL,SLOT2,IMAGINAL,SLOT2,FROM-RETRIEVAL-SLOT2-TO-IMAGINAL-SLOT2,-4.643417
RETRIEVAL,SLOT2,IMAGINAL,SLOT3,FROM-RETRIEVAL-SLOT2-TO-IMAGINAL-SLOT3,-4.928097
RETRIEVAL,SLOT2,GOAL,SLOT1,FROM-RETRIEVAL-SLOT2-TO-GOAL-SLOT1,-4.967791
RETRIEVAL,SLOT2,GOAL,SLOT2,FROM-RETRIEVAL-SLOT2-TO-GOAL-SLOT2,-5.0382047
RETRIEVAL,SLOT2,GOAL,SLOT3,FROM-RETRIEVAL-SLOT2-TO-GOAL-SLOT3,-5.1613073
RETRIEVAL,SLOT2,RETRIEVAL,SLOT1,FROM-RETRIEVAL-SLOT2-TO-RETRIEVAL-SLOT1,NA
RETRIEVAL,SLOT2,RETRIEVAL,SLOT2,FROM-RETRIEVAL-SLOT2-TO-RETRIEVAL-SLOT2,NA
RETRIEVAL,SLOT2,RETRIEVAL,SLOT3,FROM-RETRIEVAL-SLOT2-TO-RETRIEVAL-SLOT3,NA
RETRIEVAL,SLOT2,MANUAL,SLOT1,FROM-RETRIEVAL-SLOT2-TO-MANUAL-SLOT1,NIL
RETRIEVAL,SLOT2,MANUAL,SLOT2,FROM-RETRIEVAL-SLOT2-TO-MANUAL-SLOT2,NIL
RETRIEVAL,SLOT2,MANUAL,SLOT3,FROM-RETRIEVAL-SLOT2-TO-MANUAL-SLOT3,NIL
RETRIEVAL,SLOT3,VISUAL,SLOT1,FROM-RETRIEVAL-SLOT3-TO-VISUAL-SLOT1,NA
RETRIEVAL,SLOT3,VISUAL,SLOT2,FROM-RETRIEVAL-SLOT3-TO-VISUAL-SLOT2,NA
RETRIEVAL,SLOT3,VISUAL,SLOT3,FROM-RETRIEVAL-SLOT3-TO-VISUAL-SLOT3,NA
RETRIEVAL,SLOT3,IMAGINAL,SLOT1,FROM-RETRIEVAL-SLOT3-TO-IMAGINAL-SLOT1,-3.5077066
RETRIEVAL,SLOT3,IMAGINAL,SLOT2,FROM-RETRIEVAL-SLOT3-TO-IMAGINAL-SLOT2,-5.2115526
RETRIEVAL,SLOT3,IMAGINAL,SLOT3,FROM-RETRIEVAL-SLOT3-TO-IMAGINAL-SLOT3,-4.420598
RETRIEVAL,SLOT3,GOAL,SLOT1,FROM-RETRIEVAL-SLOT3-TO-GOAL-SLOT1,-6.073941
RETRIEVAL,SLOT3,GOAL,SLOT2,FROM-RETRIEVAL-SLOT3-TO-GOAL-SLOT2,-5.2800307
RETRIEVAL,SLOT3,GOAL,SLOT3,FROM-RETRIEVAL-SLOT3-TO-GOAL-SLOT3,-5.089033
RETRIEVAL,SLOT3,RETRIEVAL,SLOT1,FROM-RETRIEVAL-SLOT3-TO-RETRIEVAL-SLOT1,NA
RETRIEVAL,SLOT3,RETRIEVAL,SLOT2,FROM-RETRIEVAL-SLOT3-TO-RETRIEVAL-SLOT2,NA
RETRIEVAL,SLOT3,RETRIEVAL,SLOT3,FROM-RETRIEVAL-SLOT3-TO-RETRIEVAL-SLOT3,NA
RETRIEVAL,SLOT3,MANUAL,SLOT1,FROM-RETRIEVAL-SLOT3-TO-MANUAL-SLOT1,0.07588676
RETRIEVAL,SLOT3,MANUAL,SLOT2,FROM-RETRIEVAL-SLOT3-TO-MANUAL-SLOT2,-0.579097
RETRIEVAL,SLOT3,MANUAL,SLOT3,FROM-RETRIEVAL-SLOT3-TO-MANUAL-SLOT3,3.3028638
MANUAL,SLOT1,VISUAL,SLOT1,FROM-MANUAL-SLOT1-TO-VISUAL-SLOT1,NA
MANUAL,SLOT1,VISUAL,SLOT2,FROM-MANUAL-SLOT1-TO-VISUAL-SLOT2,NA
