BufferFrom,SlotFrom,BufferTo,SlotTo,Production,Value
IMAGINAL,SLOT3,MANUAL,SLOT2,FROM-IMAGINAL-SLOT3-TO-MANUAL-SLOT2,0.0995026
IMAGINAL,SLOT3,MANUAL,SLOT3,FROM-IMAGINAL-SLOT3-TO-MANUAL-SLOT3,0.075732715
GOAL,SLOT1,VISUAL,SLOT1,FROM-GOAL-SLOT1-TO-VISUAL-SLOT1,NA
GOAL,SLOT1,VISUAL,SLOT2,FROM-GOAL-SLOT1-TO-VISUAL-SLOT2,NA
GOAL,SLOT1,VISUAL,SLOT3,FROM-GOAL-SLOT1-TO-VISUAL-SLOT3,NA
GOAL,SLOT1,IMAGINAL,SLOT1,FROM-GOAL-SLOT1-TO-IMAGINAL-SLOT1,-12.764937
GOAL,SLOT1,IMAGINAL,SLOT2,FROM-GOAL-SLOT1-TO-IMAGINAL-SLOT2,-12.206518
GOAL,SLOT1,IMAGINAL,SLOT3,FROM-GOAL-SLOT1-TO-IMAGINAL-SLOT3,-12.447287
GOAL,SLOT1,GOAL,SLOT1,FROM-GOAL-SLOT1-TO-GOAL-SLOT1,NA
GOAL,SLOT1,GOAL,SLOT2,FROM-GOAL-SLOT1-TO-GOAL-SLOT2,NA
GOAL,SLOT1,GOAL,SLOT3,FROM-GOAL-SLOT1-TO-GOAL-SLOT3,NA
GOAL,SLOT1,RETRIEVAL,SLOT1,FROM-GOAL-SLOT1-TO-RETRIEVAL-SLOT1,-12.609956
GOAL,SLOT1,RETRIEVAL,SLOT2,FROM-GOAL-SLOT1-TO-RETRIEVAL-SLOT2,-10.646275
GOAL,SLOT1,RETRIEVAL,SLOT3,FROM-GOAL-SLOT1-TO-RETRIEVAL-SLOT3,-12.601402
GOAL,SLOT1,MANUAL,SLOT1,FROM-GOAL-SLOT1-TO-MANUAL-SLOT1,0.017756868
GOAL,SLOT1,MANUAL,SLOT2,FROM-GOAL-SLOT1-TO-MANUAL-SLOT2,-0.009617514
GOAL,SLOT1,MANUAL,SLOT3,FROM-GOAL-SLOT1-TO-MANUAL-SLOT3,-0.15730153
GOAL,SLOT2,VISUAL,SLOT1,FROM-GOAL-SLOT2-TO-VISUAL-SLOT1,NA
GOAL,SLOT2,VISUAL,SLOT2,FROM-GOAL-SLOT2-TO-VISUAL-SLOT2,NA
GOAL,SLOT2,VISUAL,SLOT3,FROM-GOAL-SLOT2-TO-VISUAL-SLOT3,NA
